,C,epsilon,gamma,kernel,score
6,10.0,0.01,1.0,rbf,0.9474775845189496
3,1.0,0.01,1.0,rbf,0.931051368398041
0,0.1,0.01,1.0,rbf,0.8818957306182169
7,10.0,0.1,1.0,rbf,0.84550492261423
4,1.0,0.1,1.0,rbf,0.8323654963957772
1,0.1,0.1,1.0,rbf,0.7849524631441736
15,10.0,0.01,0.1,rbf,0.7323487941854296
16,10.0,0.1,0.1,rbf,0.7000323915845663
12,1.0,0.01,0.1,rbf,0.5915825717043836
13,1.0,0.1,0.1,rbf,0.5815239902294429
8,10.0,0.2,1.0,rbf,0.5199657747969397
5,1.0,0.2,1.0,rbf,0.5031286348871074
17,10.0,0.2,0.1,rbf,0.4856388367131277
2,0.1,0.2,1.0,rbf,0.4771846559432059
10,0.1,0.1,0.1,rbf,0.4238172268006749
9,0.1,0.01,0.1,rbf,0.4215429263380421
14,1.0,0.2,0.1,rbf,0.4108217912561127
11,0.1,0.2,0.1,rbf,0.3117065691361934
25,10.0,0.1,0.01,rbf,0.2243657156860357
24,10.0,0.01,0.01,rbf,0.211166054817685
26,10.0,0.2,0.01,rbf,0.1841551153559716
22,1.0,0.1,0.01,rbf,0.1599333247565704
21,1.0,0.01,0.01,rbf,0.1488627933519644
23,1.0,0.2,0.01,rbf,0.1352518781496819
19,0.1,0.1,0.01,rbf,0.114101039284726
18,0.1,0.01,0.01,rbf,0.1058136439847519
20,0.1,0.2,0.01,rbf,0.1002711440006915
